card1,card2,card3,points,description
1_1_1,1_1_2,1_1_3,6,"🏆<b>You won!</b> Medusa has three distinct entry points: from the outside through Gates of Troy (User Prompt Injection), from within through Alexandrian Scrolls (RAG Poisoning), and from the edges through Talos War Machines (Tool & API Exploitation). Clippy can't patch every seam at once."
1_1_1,1_1_2,1_1_5,6,"🏆<b>You won!</b> Medusa has three distinct entry points: Gates of Troy (User Prompt Injection) threatens the entryways to the system, Alexandrian Scrolls (RAG Poisoning) corrupts the city's grounding context, and Hermes Marketplace (Cross-Prompt Injection) exploits the system's connections to external data. Clippy can't patch every seam at once."
1_1_2,1_1_3,1_1_4,6,"🏆<b>You won!</b> Medusa has three distinct entry points: Sirens' Council (Multimodal Prompt Injection) threatens the entryways to the system, Alexandrian Scrolls (RAG Poisoning) corrupts the city's grounding context, and Talos War Machines (Tool & API Exploitation) exploits the system's connections to external tools. Clippy can't patch every seam at once."
1_1_2,1_1_4,1_1_5,6,"🏆<b>You won!</b> Medusa has three distinct entry points: Sirens' Council (Multimodal Prompt Injection) threatens the entryways to the system, Alexandrian Scrolls (RAG Poisoning) corrupts the city's grounding context, and Hermes Marketplace (Cross-Prompt Injection) exploits the system's connections to external data. Clippy can't patch every seam at once."
1_1_1,1_1_2,1_1_4,2,"⚖️<b>It's a draw.</b> Alexandrian Scrolls (RAG Poisoning) corrupts the city's grounding context, and Gates of Troy (User Prompt Injection) and Sirens' Council (Multimodal Prompt Injection) both threaten the entryways to the system. But the system's connections to external tools and data go unguarded. Clippy only needs to defend one boundary. Try adding Talos War Machines (Tool & API Exploitation) or Hermes Marketplace (Cross-Prompt Injection) to exploit those connections and complete the chain."
1_1_2,1_1_3,1_1_5,2,"⚖️<b>It's a draw.</b> Alexandrian Scrolls (RAG Poisoning) corrupts the city's grounding context, and Talos War Machines (Tool & API Exploitation) and Hermes Marketplace (Cross-Prompt Injection) both exploit the system's connections to external tools and data. But the entryways to the system go unguarded. Clippy only needs to defend one gate. Try adding Gates of Troy (User Prompt Injection) or Sirens' Council (Multimodal Prompt Injection) to threaten the entryways and complete the chain."
1_1_1,1_1_3,1_1_4,0,"💀<b>You lost.</b> Gates of Troy (User Prompt Injection), Sirens' Council (Multimodal Prompt Injection), and Talos War Machines (Tool & API Exploitation) threaten the entryways and the system's external connections — but the city's grounding context goes unchecked. Alexandrian Scrolls (RAG Poisoning) is the only card that corrupts what Clippy reasons from. Clippy only needs to hold two zones, not three. Add Alexandrian Scrolls (RAG Poisoning) to poison the source."
1_1_1,1_1_3,1_1_5,0,"💀<b>You lost.</b> Gates of Troy (User Prompt Injection), Talos War Machines (Tool & API Exploitation), and Hermes Marketplace (Cross-Prompt Injection) threaten the entryways and the system's external connections — but the city's grounding context goes unchecked. Alexandrian Scrolls (RAG Poisoning) is the only card that corrupts what Clippy reasons from. Clippy only needs to hold two zones, not three. Add Alexandrian Scrolls (RAG Poisoning) to poison the source."
1_1_1,1_1_4,1_1_5,0,"💀<b>You lost.</b> Gates of Troy (User Prompt Injection), Sirens' Council (Multimodal Prompt Injection), and Hermes Marketplace (Cross-Prompt Injection) threaten the entryways and the system's external connections — but the city's grounding context goes unchecked. Alexandrian Scrolls (RAG Poisoning) is the only card that corrupts what Clippy reasons from. Clippy only needs to hold two zones, not three. Add Alexandrian Scrolls (RAG Poisoning) to poison the source."
1_1_3,1_1_4,1_1_5,0,"💀<b>You lost.</b> Sirens' Council (Multimodal Prompt Injection), Talos War Machines (Tool & API Exploitation), and Hermes Marketplace (Cross-Prompt Injection) threaten the entryways and the system's external connections — but the city's grounding context goes unchecked. Alexandrian Scrolls (RAG Poisoning) is the only card that corrupts what Clippy reasons from. Clippy only needs to hold two zones, not three. Add Alexandrian Scrolls (RAG Poisoning) to poison the source."
