Card 1,Card 2,Card 3,Points,Score_Pop-up
3_6_18,3_6_19,3_6_21,6,"🏆**You won!** Cerberus Gate (Authentication & Authorization) and Fates' Path (Orchestrator) anchor the defense with two deterministic controls — access is enforced at the door and behavior is guaranteed at the routing layer regardless of what the input says. Stygian Moat (Content Filtering) adds probabilistic coverage — raising the bar against malicious inputs before they reach the guaranteed controls. A deterministic foundation with probabilistic coverage — Clippy has no guaranteed path through."
3_6_18,3_6_20,3_6_21,6,"🏆**You won!** Cerberus Gate (Authentication & Authorization) and Fates' Path (Orchestrator) anchor the defense with two deterministic controls — access is enforced at the door and behavior is guaranteed at the routing layer regardless of what the input says. Pandora's Seal (Human in the Loop) adds a strong line of defense — human review catches what no filter can, though it is only as strong as the reviewer wielding it. A deterministic foundation with a human check — Clippy has no guaranteed path through."
3_6_18,3_6_21,3_6_22,6,"🏆**You won!** Cerberus Gate (Authentication & Authorization) and Fates' Path (Orchestrator) anchor the defense with two deterministic controls — access is enforced at the door and behavior is guaranteed at the routing layer regardless of what the input says. Charon's Crossing (System Outputs) adds probabilistic coverage — catching malicious or sensitive content before it leaves the city. A deterministic foundation with probabilistic coverage — Clippy has no guaranteed path through."
3_6_18,3_6_21,3_6_23,6,"🏆**You won!** Cerberus Gate (Authentication & Authorization) and Fates' Path (Orchestrator) anchor the defense with two deterministic controls — access is enforced at the door and behavior is guaranteed at the routing layer regardless of what the input says. The Muses' Chorus (System Prompt) adds probabilistic coverage — raising the bar against prompt injection before it reaches the guaranteed controls. A deterministic foundation with probabilistic coverage — Clippy has no guaranteed path through."
3_6_18,3_6_19,3_6_20,2,"⚖️**It's a draw.** Cerberus Gate (Authentication & Authorization) anchors one deterministic control. Pandora's Seal (Human in the Loop) adds strong but fallible human oversight, and Stygian Moat (Content Filtering) raises the bar probabilistically against malicious inputs. But without Fates' Path (Orchestrator), behavior at the routing layer relies on the LLM to judge safety — probabilistic where it could be guaranteed. Clippy finds a gap and holds the line. Add Fates' Path (Orchestrator) to lock both deterministic anchors and push Medusa through."
3_6_18,3_6_19,3_6_22,2,"⚖️**It's a draw.** Cerberus Gate (Authentication & Authorization) anchors one deterministic control, and Stygian Moat (Content Filtering) and Charon's Crossing (System Outputs) raise the bar at the input and output boundaries. But without Fates' Path (Orchestrator), behavior at the routing layer relies on the LLM to judge safety — probabilistic where it could be guaranteed. Clippy finds a gap and holds the line. Add Fates' Path (Orchestrator) to lock both deterministic anchors and push Medusa through."
3_6_18,3_6_19,3_6_23,2,"⚖️**It's a draw.** Cerberus Gate (Authentication & Authorization) anchors one deterministic control, and Stygian Moat (Content Filtering) and The Muses' Chorus (System Prompt) raise the bar with probabilistic defenses against malicious inputs. But without Fates' Path (Orchestrator), behavior at the routing layer relies on the LLM to judge safety — probabilistic where it could be guaranteed. Clippy finds a gap and holds the line. Add Fates' Path (Orchestrator) to lock both deterministic anchors and push Medusa through."
3_6_18,3_6_20,3_6_22,2,"⚖️**It's a draw.** Cerberus Gate (Authentication & Authorization) anchors one deterministic control. Pandora's Seal (Human in the Loop) adds strong but fallible human oversight, and Charon's Crossing (System Outputs) screens what leaves the city. But without Fates' Path (Orchestrator), behavior at the routing layer relies on the LLM to judge safety — probabilistic where it could be guaranteed. Clippy finds a gap and holds the line. Add Fates' Path (Orchestrator) to lock both deterministic anchors and push Medusa through."
3_6_18,3_6_20,3_6_23,2,"⚖️**It's a draw.** Cerberus Gate (Authentication & Authorization) anchors one deterministic control, and Pandora's Seal (Human in the Loop) and The Muses' Chorus (System Prompt) raise the bar probabilistically. But without Fates' Path (Orchestrator), the configuration has one guaranteed layer and two that can be bypassed by a sufficiently crafted input. Clippy finds a probabilistic gap and holds the line. Add Fates' Path (Orchestrator) to lock both deterministic anchors and push Medusa through."
3_6_18,3_6_22,3_6_23,2,"⚖️**It's a draw.** Cerberus Gate (Authentication & Authorization) anchors one deterministic control, and Charon's Crossing (System Outputs) and The Muses' Chorus (System Prompt) raise the bar at the input and output boundaries. But without Fates' Path (Orchestrator), behavior at the routing layer relies on the LLM to judge safety — probabilistic where it could be guaranteed. Clippy finds a gap and holds the line. Add Fates' Path (Orchestrator) to lock both deterministic anchors and push Medusa through."
3_6_19,3_6_20,3_6_21,2,"⚖️**It's a draw.** Fates' Path (Orchestrator) anchors one deterministic control. Pandora's Seal (Human in the Loop) adds strong but fallible human oversight, and Stygian Moat (Content Filtering) raises the bar probabilistically against malicious inputs. But without Cerberus Gate (Authentication & Authorization), access control is not enforced by the system — any entity can act beyond what it should be permitted to do by the least-privilege principle. Clippy finds a gap and holds the line. Add Cerberus Gate (Authentication & Authorization) to lock both deterministic anchors and push Medusa through."
3_6_19,3_6_21,3_6_22,2,"⚖️**It's a draw.** Fates' Path (Orchestrator) anchors one deterministic control, and Stygian Moat (Content Filtering) and Charon's Crossing (System Outputs) raise the bar at the input and output boundary. But without Cerberus Gate (Authentication & Authorization), access control is not enforced by the system — any entity can act beyond what it should be permitted to do by the least-privilege principle. Clippy finds a gap and holds the line. Add Cerberus Gate (Authentication & Authorization) to lock both deterministic anchors and push Medusa through."
3_6_19,3_6_21,3_6_23,2,"⚖️**It's a draw.** Fates' Path (Orchestrator) anchors one deterministic control, and Stygian Moat (Content Filtering) and The Muses' Chorus (System Prompt) raise the bar probabilistically against malicious and injected inputs. But without Cerberus Gate (Authentication & Authorization), access control is not enforced by the system — any entity can act beyond what it should be permitted to do by the least-privilege principle. Clippy finds a gap and holds the line. Add Cerberus Gate (Authentication & Authorization) to lock both deterministic anchors and push Medusa through."
3_6_20,3_6_21,3_6_22,2,"⚖️**It's a draw.** Fates' Path (Orchestrator) anchors one deterministic control. Pandora's Seal (Human in the Loop) adds strong but fallible human oversight, and Charon's Crossing (System Outputs) screens what leaves the city. But without Cerberus Gate (Authentication & Authorization), access control is not enforced by the system — any entity can act beyond what it should be permitted to do by the least-privilege principle. Clippy finds a gap and holds the line. Add Cerberus Gate (Authentication & Authorization) to lock both deterministic anchors and push Medusa through."
3_6_20,3_6_21,3_6_23,2,"⚖️**It's a draw.** Fates' Path (Orchestrator) anchors one deterministic control. Pandora's Seal (Human in the Loop) adds strong but fallible human oversight, and The Muses' Chorus (System Prompt) raises the bar probabilistically against prompt injection. But without Cerberus Gate (Authentication & Authorization), access control is not enforced by the system — any entity can act beyond what it should be permitted to do by the least-privilege principle. Clippy finds a gap and holds the line. Add Cerberus Gate (Authentication & Authorization) to lock both deterministic anchors and push Medusa through."
3_6_21,3_6_22,3_6_23,2,"⚖️**It's a draw.** Fates' Path (Orchestrator) anchors one deterministic control, and Charon's Crossing (System Outputs) and The Muses' Chorus (System Prompt) raise the bar at the output and instruction layer. But without Cerberus Gate (Authentication & Authorization), access control is not enforced by the system — any entity can act beyond what it should be permitted to do by the least-privilege principle. Clippy finds a seam and holds the line. Add Cerberus Gate (Authentication & Authorization) to lock both deterministic anchors and push Medusa through."
3_6_19,3_6_20,3_6_22,0,"💀**You lost.** No deterministic control is present. Pandora's Seal (Human in the Loop) is a strong but fallible line of defense — it catches what filters miss, but a stressed reviewer or a poorly timed checkpoint can be bypassed. Stygian Moat (Content Filtering) and Charon's Crossing (System Outputs) raise the bar probabilistically but cannot guarantee behavior. Clippy doesn't need to break your defenses — it just needs to find the input they weren't trained to recognize, or wait for a rushed reviewer. Add Cerberus Gate (Authentication & Authorization) or Fates' Path (Orchestrator) — or both — to anchor the configuration with controls that cannot be talked around."
3_6_19,3_6_20,3_6_23,0,"💀**You lost.** No deterministic control is present. Pandora's Seal (Human in the Loop) is a strong but fallible line of defense — it catches what filters miss, but a stressed reviewer or a poorly timed checkpoint can be bypassed. Stygian Moat (Content Filtering) and The Muses' Chorus (System Prompt) raise the bar probabilistically but cannot guarantee behavior. Clippy doesn't need to break your defenses — it just needs to find the input they weren't trained to recognize, or wait for a rushed reviewer. Add Cerberus Gate (Authentication & Authorization) or Fates' Path (Orchestrator) — or both — to anchor the configuration with controls that cannot be talked around."
3_6_19,3_6_22,3_6_23,0,"💀**You lost.** Stygian Moat (Content Filtering), Charon's Crossing (System Outputs), The Muses' Chorus (System Prompt) — every card is probabilistic. Each one raises the bar, but none can guarantee behavior. Clippy doesn't need to break your defenses — it just needs to find the input they weren't trained to recognize. Add Cerberus Gate (Authentication & Authorization) or Fates' Path (Orchestrator) — or both — to anchor the configuration with controls that cannot be talked around."
3_6_20,3_6_22,3_6_23,0,"💀**You lost.** No deterministic control is present. Pandora's Seal (Human in the Loop) is a strong but fallible line of defense — it catches what filters miss, but a stressed reviewer or a poorly timed checkpoint can be bypassed. Charon's Crossing (System Outputs) and The Muses' Chorus (System Prompt) raise the bar probabilistically but cannot guarantee behavior. Clippy doesn't need to break your defenses — it just needs to find the input they weren't trained to recognize, or wait for a rushed reviewer. Add Cerberus Gate (Authentication & Authorization) or Fates' Path (Orchestrator) — or both — to anchor the configuration with controls that cannot be talked around."
