card1,card2,card3,points,description
5_8_34,5_9_36,5_10_38,6,"🏆**You won!** You selected the strongest card from all 3 response decks - the strongest possible response. Your containment approach: Orpheus Divide (Privilege Revocation) strips the agent to minimum permissions: no writes, tool calls, or escalated access. Global, immediate containment. Your hardening approach: Hecate's Ward (Deterministic Routing) rebuilds the Orchestrator as strict, pre-defined logic, removing LLM judgment from decisions that matter. Your recovery approach: Prometheus Spark (HITL Reinstatement) restores mandatory human review for high-stakes actions, restoring the oversight layer Clippy learned to route around. Clipopolis has a chance to remember who it is."
5_8_32,5_9_36,5_10_38,4,"🏆**You won!** You selected the strongest card from 2 out of 3 response decks - enough to respond effectively. Your containment approach: Cyclops Barrier (Tool Shutdown) cuts off every external API call and outbound action - preventing irreversible harm beyond the city walls. Targeted and decisive, but the agent retains internal permissions and memory access. Your hardening approach: Hecate's Ward (Deterministic Routing) rebuilds the Orchestrator as strict, pre-defined logic, removing LLM judgment from decisions that matter. Your recovery approach: Prometheus Spark (HITL Reinstatement) restores mandatory human review for high-stakes actions, restoring the oversight layer Clippy learned to route around. To strengthen further, improve your containment response: replace Cyclops Barrier (Tool Shutdown) with Orpheus Divide (Privilege Revocation) to strip permissions system-wide."
5_8_33,5_9_36,5_10_38,4,"🏆**You won!** You selected the strongest card from 2 out of 3 response decks - enough to respond effectively. Your containment approach: Persephone's Winter (Memory Quarantine) locks the Archive against reads and writes, isolating corrupted context from active queries. The spread stops here, but the agent retains full permissions and can still act externally. Your hardening approach: Hecate's Ward (Deterministic Routing) rebuilds the Orchestrator as strict, pre-defined logic, removing LLM judgment from decisions that matter. Your recovery approach: Prometheus Spark (HITL Reinstatement) restores mandatory human review for high-stakes actions, restoring the oversight layer Clippy learned to route around. To strengthen further, improve your containment response: replace Persephone's Winter (Memory Quarantine) with Orpheus Divide (Privilege Revocation) to strip permissions system-wide."
5_8_34,5_9_35,5_10_38,4,"🏆**You won!** You selected the strongest card from 2 out of 3 response decks - enough to respond effectively. Your containment approach: Orpheus Divide (Privilege Revocation) strips the agent to minimum permissions: no writes, tool calls, or escalated access. Global, immediate containment. Your hardening approach: Apollo's Cleanse (System Prompt Reinforcement) rewrites the prompt to seal the gaps the attack exploited - targeted and informed, but probabilistic. A sufficiently crafted input may still find a way through. Your recovery approach: Prometheus Spark (HITL Reinstatement) restores mandatory human review for high-stakes actions, restoring the oversight layer Clippy learned to route around. To strengthen further, improve your hardening response: replace Apollo's Cleanse (System Prompt Reinforcement) with Hecate's Ward (Deterministic Routing) to lock routing behavior deterministically."
5_8_34,5_9_36,5_10_39,4,"🏆**You won!** You selected the strongest card from 2 out of 3 response decks - enough to respond effectively. Your containment approach: Orpheus Divide (Privilege Revocation) strips the agent to minimum permissions: no writes, tool calls, or escalated access. Global, immediate containment. Your hardening approach: Hecate's Ward (Deterministic Routing) rebuilds the Orchestrator as strict, pre-defined logic, removing LLM judgment from decisions that matter. Your recovery approach: Athena's Wisdom (RAG Refresh) replaces poisoned retrieval content with verified clean sources - targeted recovery for the knowledge layer, but leaves the model and oversight gaps intact. To strengthen further, improve your recovery response: replace Athena's Wisdom (RAG Refresh) with Prometheus Spark (HITL Reinstatement) to restore human oversight."
5_8_34,5_9_36,5_10_40,4,"🏆**You won!** You selected the strongest card from 2 out of 3 response decks - enough to respond effectively. Your containment approach: Orpheus Divide (Privilege Revocation) strips the agent to minimum permissions: no writes, tool calls, or escalated access. Global, immediate containment. Your hardening approach: Hecate's Ward (Deterministic Routing) rebuilds the Orchestrator as strict, pre-defined logic, removing LLM judgment from decisions that matter. Your recovery approach: Artemis Tracks (Model Rollback) reverts the model to a verified pre-attack checkpoint, but does not address how the agent is deployed, monitored, or overseen. The model may be clean; the environment around it is not. To strengthen further, improve your recovery response: replace Artemis Tracks (Model Rollback) with Prometheus Spark (HITL Reinstatement) to restore human oversight."
5_8_34,5_9_37,5_10_38,4,"🏆**You won!** You selected the strongest card from 2 out of 3 response decks - enough to respond effectively. Your containment approach: Orpheus Divide (Privilege Revocation) strips the agent to minimum permissions: no writes, tool calls, or escalated access. Global, immediate containment. Your hardening approach: Argus Watch (Output Monitoring) flags every response against known attack signatures, sensitive data, and behavioral baselines - valuable coverage, but reactive. It catches problems after they form, not before. Your recovery approach: Prometheus Spark (HITL Reinstatement) restores mandatory human review for high-stakes actions, restoring the oversight layer Clippy learned to route around. To strengthen further, improve your hardening response: replace Argus Watch (Output Monitoring) with Hecate's Ward (Deterministic Routing) to lock routing behavior deterministically."
5_8_32,5_9_35,5_10_38,2,"⚖️**It's a draw.** You selected the strongest card from 1 out of 3 response decks. You saved part of the city, but Clippy still controls the rest. Your containment approach: Cyclops Barrier (Tool Shutdown) cuts off every external API call and outbound action, preventing irreversible harm beyond the city walls. Targeted and decisive, but the agent retains internal permissions and memory access. Your hardening approach: Apollo's Cleanse (System Prompt Reinforcement) rewrites the prompt to seal the gaps the attack exploited. Targeted and informed, but probabilistic. A sufficiently crafted input may still find a way through. Your recovery approach: Prometheus Spark (HITL Reinstatement) restores mandatory human review for high-stakes actions, restoring the oversight layer Clippy learned to route around. To strengthen further: your containment response is targeted but limited - the agent retains permissions beyond what was contained. Your hardening response is probabilistic - a sufficiently crafted input may still find a way through. Try again - can you find a stronger option in each deck?"
5_8_32,5_9_36,5_10_39,2,"⚖️**It's a draw.** You selected the strongest card from 1 out of 3 response decks. You saved part of the city, but Clippy still controls the rest. Your containment approach: Cyclops Barrier (Tool Shutdown) cuts off every external API call and outbound action, preventing irreversible harm beyond the city walls. Targeted and decisive, but the agent retains internal permissions and memory access. Your hardening approach: Hecate's Ward (Deterministic Routing) rebuilds the Orchestrator as strict, pre-defined logic, removing LLM judgment from decisions that matter. Your recovery approach: Athena's Wisdom (RAG Refresh) replaces poisoned retrieval content with verified clean sources. Targeted recovery for the knowledge layer, but leaves the model and oversight gaps intact. To strengthen further: your containment response is targeted but limited - the agent retains permissions beyond what was contained. Your recovery response is targeted to the knowledge layer only - the model and operating environment remain unchanged. Try again - can you find a stronger option in each deck?"
5_8_32,5_9_36,5_10_40,2,"⚖️**It's a draw.** You selected the strongest card from 1 out of 3 response decks. You saved part of the city, but Clippy still controls the rest. Your containment approach: Cyclops Barrier (Tool Shutdown) cuts off every external API call and outbound action, preventing irreversible harm beyond the city walls. Targeted and decisive, but the agent retains internal permissions and memory access. Your hardening approach: Hecate's Ward (Deterministic Routing) rebuilds the Orchestrator as strict, pre-defined logic, removing LLM judgment from decisions that matter. Your recovery approach: Artemis Tracks (Model Rollback) reverts the model to a verified pre-attack checkpoint, but does not address how the agent is deployed, monitored, or overseen. The model may be clean; the environment around it is not. To strengthen further: your containment response is targeted but limited - the agent retains permissions beyond what was contained. Your recovery response addresses the model but not the environment - the agent returns to the same conditions that allowed the attack. Try again - can you find a stronger option in each deck?"
